"NAME";"OUTCOME";"ORIGIN_FIELD";"FREEBASE_FIELD"
"Kelly Olynyk";"SEMICORRECT";"canada";"toronto"
"Brandon Bass";"CORRECT";"";""
"Phil Pressey";"CORRECT";"";""
"Jeff Green";"CORRECT";"";""
"Jared Sullinger";"CORRECT";"";""
"Rajon Rondo";"CORRECT";"";""
"Kris Humphries";"SEMICORRECT";"chaska";"minneapolis"
"Vitor Faverani";"UNCORRECT";"Vitor Faverani";"Vítor Faverani"
"Joe Johnson";"CORRECT";"";""
"Kevin Garnett";"SEMICORRECT";"mauldin";"greenville"
"Deron Williams";"CORRECT";"";""
"Nerlens Noel";"CORRECT";"";""
"Brook Lopez";"CORRECT";"";""
"Amir Johnson";"CORRECT";"";""
"Rudy Gay";"CORRECT";"";""
"J.R. Smith";"UNCORRECT";"J.R. Smith";"J. R. Smith"
"Cole Aldrich";"CORRECT";"";""
"Pablo Prigioni";"UNCORRECT";"1977-03-17";"1977-05-17"
"Stephen Curry";"SEMICORRECT";"charlotte";"akron"
"Carmelo Anthony";"SEMICORRECT";"newyork";"redhook"
"Andrew Bogut";"SEMICORRECT";"australia";"endeavourhills"
"Tyson Chandler";"CORRECT";"";""
"Raymond Felton";"CORRECT";"";""
"Iman Shumpert";"CORRECT";"";""
"Andrea Bargnani";"SEMICORRECT";"italy";"rome"
"Thaddeus Young";"CORRECT";"";""
"Tony Wroten";"SEMICORRECT";"seattle";"renton"
"Nick Young";"CORRECT";"";""
"Jodie Meeks";"CORRECT";"";""
"Jimmy Butler";"CORRECT";"";""
"Jarrett Jack";"CORRECT";"";""
"Archie Goodwin";"CORRECT";"";""
"Seth Curry";"CORRECT";"";""
"Marcus Morris";"CORRECT";"";""
"Ish Smith";"CORRECT";"";""
"Miles Plumlee";"CORRECT";"";""
"Kentavious Caldwell-Pope";"CORRECT";"";""
"Greg Monroe";"SEMICORRECT";"harvey";"gretna"
"Eric Bledsoe";"CORRECT";"";""
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Aaron Gray";"CORRECT";"";""
"Jeff Adrien";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Khris Middleton";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Monta Ellis";"CORRECT";"";""
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"Tyreke Evans";"CORRECT";"";""
"Luke Babbitt";"CORRECT";"";""
"Jrue Holiday";"SEMICORRECT";"missionhills";"chatsworth"
"Jon Leuer";"CORRECT";"";""
"Zach Randolph";"CORRECT";"";""
"Josh McRoberts";"CORRECT";"";""
"Kawhi Leonard";"CORRECT";"";""
"Bismack Biyombo";"SEMICORRECT";"zaire";"lubumbashi"
"Malcolm Thomas";"CORRECT";"";""
"Kyle Korver";"CORRECT";"";""
"Shelvin Mack";"CORRECT";"";""
"Chris Andersen";"SEMICORRECT";"iola";"longbeach"
"Ray Allen";"CORRECT";"";""
"Gustavo Ayon";"UNCORRECT";"Gustavo Ayon";"Gustavo Ayón"
"Maurice Harkless";"CORRECT";"";""
"Dewayne Dedmon";"CORRECT";"";""
"Ronnie Price";"CORRECT";"";""
"J.J. Hickson";"UNCORRECT";"J.J. Hickson";"JJ Hickson"
"Victor Oladipo";"SEMICORRECT";"silverspring";"uppermarlboro"
"Kyle O'Quinn";"SEMICORRECT";"queens";"jamaica"
"JaVale McGee";"CORRECT";"";""
"Kevin Martin";"CORRECT";"";""
"Damian Lillard";"UNCORRECT";"1990-07-05";"1990-07-15"
"Ronny Turiaf";"SEMICORRECT";"";"lerobert"
"Wesley Matthews";"CORRECT";"";""
"Robin Lopez";"CORRECT";"";""
"Russell Westbrook";"CORRECT";"";""
"Trey Burke";"CORRECT";"";""
"Courtney Lee";"CORRECT";"";""
"Chris Johnson";"SEMICORRECT";"orlando";"columbus"
"Gerald Wallace";"CORRECT";"";""
"MarShon Brooks";"CORRECT";"";""
"Keith Bogans";"SEMICORRECT";"washington";"washington,d.c."
"Vander Blue";"CORRECT";"";""
"Chris Babb";"SEMICORRECT";"wichita";"topeka"
"Joel Anthony";"SEMICORRECT";"canada";"montreal"
"Avery Bradley";"CORRECT";"";""
"Jordan Crawford";"CORRECT";"";""
"Jerryd Bayless";"CORRECT";"";""
"Chandler Parsons";"CORRECT";"";""
"Tony Parker";"SEMICORRECT";"belgium";"bruges"
"Manu Ginobili";"UNCORRECT";"Manu Ginobili";"Manu Ginóbili"
"Paul George";"CORRECT";"";""
"Lance Stephenson";"CORRECT";"";""
"Tyler Hansbrough";"CORRECT";"";""
"Al Horford";"SEMICORRECT";"dominicanrepublic";"puertoplata"
"Kyle Lowry";"CORRECT";"";""
"Jeff Teague";"CORRECT";"";""
"Kemba Walker";"SEMICORRECT";"bronx";"thebronx"
"Zaza Pachulia";"SEMICORRECT";"";"tbilisi"
"Anderson Varejao";"UNCORRECT";"Anderson Varejao";"Anderson Varejão"
"Nate Wolters";"SEMICORRECT";"";"st.cloud"
"O.J. Mayo";"UNCORRECT";"O.J. Mayo";"O. J. Mayo"
"Josh Smith";"CORRECT";"";""
"Brandon Knight";"CORRECT";"";""
"Andre Drummond";"CORRECT";"";""
"Chris Paul";"CORRECT";"";""
"Will Bynum";"CORRECT";"";""
"Kevin Love";"CORRECT";"";""
"Marc Gasol";"SEMICORRECT";"spain";"barcelona"
"J.J. Barea";"UNCORRECT";"J.J. Barea";"José Juan Barea"
"Mike Conley";"UNCORRECT";"Mike Conley";"Mike Conley, Jr."
"Gordon Hayward";"CORRECT";"";""
"Derrick Favors";"CORRECT";"";""
"Arron Afflalo";"CORRECT";"";""
"Nikola Vucevic";"UNCORRECT";"Nikola Vucevic";"Nikola Vu?evi?"
"Brandon Jennings";"CORRECT";"";""
"Jameer Nelson";"CORRECT";"";""
"Trevor Ariza";"CORRECT";"";""
"LeBron James";"CORRECT";"";""
"John Wall";"CORRECT";"";""
"Al Jefferson";"CORRECT";"";""
"Roy Hibbert";"CORRECT";"";""
"LaMarcus Aldridge";"CORRECT";"";""
"Kyrie Irving";"SEMICORRECT";"australia";"melbourne"
"Mo Williams";"CORRECT";"";""
"Tyler Zeller";"CORRECT";"";""
"Ricky Rubio";"SEMICORRECT";"spain";"elmasnou"
"Paul Millsap";"CORRECT";"";""
"Terrence Jones";"CORRECT";"";""
"Joakim Noah";"SEMICORRECT";"newyork";"newyorkcity"
"Anthony Davis";"CORRECT";"";""
"Reggie Jackson";"SEMICORRECT";"italy";"pordenone"
"Serge Ibaka";"SEMICORRECT";"";"brazzaville"
"Dwight Howard";"CORRECT";"";""
"David West";"CORRECT";"";""
"Kevin Durant";"SEMICORRECT";"washington";"washington,d.c."
"Andrew Bynum";"CORRECT";"";""
"Randy Foye";"CORRECT";"";""
"Goran Dragic";"UNCORRECT";"Goran Dragic";"Goran Dragi?"
"Kenneth Faried";"CORRECT";"";""
"Devin Harris";"CORRECT";"";""
"Ty Lawson";"CORRECT";"";""
"Chris Bosh";"CORRECT";"";""
"Blake Griffin";"CORRECT";"";""
"DeAndre Jordan";"CORRECT";"";""
"Jonas Valanciunas";"UNCORRECT";"Jonas Valanciunas";"Jonas Valan?i?nas"
"Andre Iguodala";"CORRECT";"";""
"DeMar DeRozan";"CORRECT";"";""
"Nicolas Batum";"SEMICORRECT";"france";"lisieux"
"D.J. Augustin";"UNCORRECT";"D.J. Augustin";"D. J. Augustin"
"Jeremy Lin";"SEMICORRECT";"paloalto";"losangeles"
"Mike Dunleavy";"UNCORRECT";"Mike Dunleavy";"Mike Dunleavy, Jr."
"Pau Gasol";"SEMICORRECT";"spain";"barcelona"
"Taj Gibson";"CORRECT";"";""
"Kendall Marshall";"CORRECT";"";""
"Henry Sims";"CORRECT";"";""
"Mario Chalmers";"CORRECT";"";""
"Rodney Stuckey";"CORRECT";"";""
"Marcin Gortat";"SEMICORRECT";"poland";"?ód?"
"Michael Carter-Williams";"CORRECT";"";""
"Bradley Beal";"SEMICORRECT";"";"st.louis"
"Kendrick Perkins";"CORRECT";"";""
"Shaun Livingston";"CORRECT";"";""
"Evan Turner";"CORRECT";"";""
"Spencer Hawes";"CORRECT";"";""
"DeMarcus Cousins";"CORRECT";"";""
"Dirk Nowitzki";"SEMICORRECT";"westgermany";"würzburg"
"Tim Duncan";"SEMICORRECT";"virginislands";"christiansted"
"Marco Belinelli";"SEMICORRECT";"italy";"sangiovanniinpersiceto"
"P.J. Tucker";"UNCORRECT";"P.J. Tucker";"P. J. Tucker"
"Jordan Hill";"CORRECT";"";""
"Isaiah Thomas";"CORRECT";"";""
"Kelly Olynyk";"SEMICORRECT";"canada";"toronto"
"Kelly Olynyk";"SEMICORRECT";"canada";"toronto"
"Kelly Olynyk";"SEMICORRECT";"canada";"toronto"
"David Lee";"SEMICORRECT";"";"st.louis"
"Phil Pressey";"CORRECT";"";""
"Phil Pressey";"CORRECT";"";""
"Phil Pressey";"CORRECT";"";""
"Brandon Bass";"CORRECT";"";""
"Brandon Bass";"CORRECT";"";""
"Brandon Bass";"CORRECT";"";""
"Vitor Faverani";"UNCORRECT";"Vitor Faverani";"Vítor Faverani"
"Vitor Faverani";"UNCORRECT";"Vitor Faverani";"Vítor Faverani"
"Vitor Faverani";"UNCORRECT";"Vitor Faverani";"Vítor Faverani"
"Paul Pierce";"CORRECT";"";""
"Mason Plumlee";"CORRECT";"";""
"Jeff Green";"CORRECT";"";""
"Jeff Green";"CORRECT";"";""
"Jeff Green";"CORRECT";"";""
"Jared Sullinger";"CORRECT";"";""
"Jared Sullinger";"CORRECT";"";""
"Jared Sullinger";"CORRECT";"";""
"Rajon Rondo";"CORRECT";"";""
"Rajon Rondo";"CORRECT";"";""
"Rajon Rondo";"CORRECT";"";""
"Kris Humphries";"SEMICORRECT";"chaska";"minneapolis"
"Kris Humphries";"SEMICORRECT";"chaska";"minneapolis"
"Kris Humphries";"SEMICORRECT";"chaska";"minneapolis"
"Patrick Patterson";"SEMICORRECT";"washington";"washington,d.c."
"Dwyane Wade";"CORRECT";"";""
"Jason Collins";"CORRECT";"";""
"Marquis Teague";"CORRECT";"";""
"Mirza Teletovic";"UNCORRECT";"Mirza Teletovic";"Mirza Teletovi?"
"Andray Blatche";"CORRECT";"";""
"Alan Anderson";"CORRECT";"";""
"Marcus Thornton";"CORRECT";"";""
"Andrei Kirilenko";"SEMICORRECT";"";"izhevsk"
"Joe Johnson";"CORRECT";"";""
"Jorge Gutierrez";"SEMICORRECT";"mexico";"chihuahua"
"Joe Johnson";"CORRECT";"";""
"Joe Johnson";"CORRECT";"";""
"Kevin Garnett";"SEMICORRECT";"mauldin";"greenville"
"Kevin Garnett";"SEMICORRECT";"mauldin";"greenville"
"Kevin Garnett";"SEMICORRECT";"mauldin";"greenville"
"Deron Williams";"CORRECT";"";""
"Deron Williams";"CORRECT";"";""
"Deron Williams";"CORRECT";"";""
"Greivis Vasquez";"UNCORRECT";"Greivis Vasquez";"Greivis Vásquez"
"Nerlens Noel";"CORRECT";"";""
"Nerlens Noel";"CORRECT";"";""
"Nerlens Noel";"CORRECT";"";""
"Brook Lopez";"CORRECT";"";""
"Brook Lopez";"CORRECT";"";""
"Brook Lopez";"CORRECT";"";""
"Landry Fields";"CORRECT";"";""
"Terrence Ross";"CORRECT";"";""
"John Salmons";"CORRECT";"";""
"Chuck Hayes";"CORRECT";"";""
"Steve Novak";"CORRECT";"";""
"Nando de Colo";"SEMICORRECT";"france";"sainte-catherine-lès-arras"
"Dwight Buycks";"CORRECT";"";""
"Julyan Stone";"CORRECT";"";""
"Earl Clark";"SEMICORRECT";"newark";"plainfield"
"Shannon Brown";"CORRECT";"";""
"Amar'e Stoudemire";"CORRECT";"";""
"Tim Hardaway Jr.";"UNCORRECT";"Tim Hardaway Jr.";"Tim Hardaway, Jr."
"Chris Smith";"SEMICORRECT";"";"millstone"
"Beno Udrih";"SEMICORRECT";"yugoslavia";"celje"
"Metta World Peace";"SEMICORRECT";"";"queensbridge"
"Kenyon Martin";"CORRECT";"";""
"Jeremy Tyler";"UNCORRECT";"1991-06-12";"1991-06-21"
"Toure' Murry";"UNCORRECT";"Toure' Murry";"Toure Murry"
"Amir Johnson";"CORRECT";"";""
"Amir Johnson";"CORRECT";"";""
"Amir Johnson";"CORRECT";"";""
"Gerald Henderson";"UNCORRECT";"1987-12-09";"1956-01-16"
"Danny Green";"SEMICORRECT";"newyork";"northbabylon"
"Ryan Anderson";"CORRECT";"";""
"Tristan Thompson";"SEMICORRECT";"canada";"brampton"
"Carlos Boozer";"SEMICORRECT";"westgermany";"aschaffenburg"
"John Henson";"CORRECT";"";""
"Jannero Pargo";"CORRECT";"";""
"Shane Battier";"CORRECT";"";""
"Rudy Gay";"CORRECT";"";""
"Rudy Gay";"CORRECT";"";""
"Rudy Gay";"CORRECT";"";""
"J.R. Smith";"UNCORRECT";"J.R. Smith";"J. R. Smith"
"J.R. Smith";"UNCORRECT";"J.R. Smith";"J. R. Smith"
"J.R. Smith";"UNCORRECT";"J.R. Smith";"J. R. Smith"
"J.R. Smith";"UNCORRECT";"J.R. Smith";"J. R. Smith"
"Lamar Odom";"SEMICORRECT";"jamaica";"southjamaica"
"Hilton Armstrong";"CORRECT";"";""
"Harrison Barnes";"CORRECT";"";""
"Stephen Curry";"SEMICORRECT";"charlotte";"akron"
"Steve Blake";"CORRECT";"";""
"Festus Ezeli";"SEMICORRECT";"nigeria";"benincity"
"Draymond Green";"CORRECT";"";""
"Ognjen Kuzmic";"UNCORRECT";"Ognjen Kuzmic";"Ognjen Kuzmi?"
"Carmelo Anthony";"SEMICORRECT";"newyork";"redhook"
"Nemanja Nedovic";"UNCORRECT";"Nemanja Nedovic";"Nemanja Nedovi?"
"Carmelo Anthony";"SEMICORRECT";"newyork";"redhook"
"Jermaine O'Neal";"CORRECT";"";""
"Carmelo Anthony";"SEMICORRECT";"newyork";"redhook"
"Marreese Speights";"SEMICORRECT";"";"st.petersburg"
"Klay Thompson";"CORRECT";"";""
"Andrew Bogut";"SEMICORRECT";"australia";"endeavourhills"
"Andrew Bogut";"SEMICORRECT";"australia";"endeavourhills"
"Andrew Bogut";"SEMICORRECT";"australia";"endeavourhills"
"Cole Aldrich";"CORRECT";"";""
"Cole Aldrich";"CORRECT";"";""
"Cole Aldrich";"CORRECT";"";""
"Tyson Chandler";"CORRECT";"";""
"Tyson Chandler";"CORRECT";"";""
"Tyson Chandler";"CORRECT";"";""
"Raymond Felton";"CORRECT";"";""
"Raymond Felton";"CORRECT";"";""
"Raymond Felton";"CORRECT";"";""
"Pablo Prigioni";"UNCORRECT";"1977-03-17";"1977-05-17"
"Pablo Prigioni";"UNCORRECT";"1977-03-17";"1977-05-17"
"Pablo Prigioni";"UNCORRECT";"1977-03-17";"1977-05-17"
"Stephen Curry";"SEMICORRECT";"charlotte";"akron"
"Stephen Curry";"SEMICORRECT";"charlotte";"akron"
"Jamal Crawford";"CORRECT";"";""
"J.J. Redick";"UNCORRECT";"J.J. Redick";"J. J. Redick"
"Matt Barnes";"CORRECT";"";""
"Darren Collison";"CORRECT";"";""
"Glen Davis";"CORRECT";"";""
"Hedo Turkoglu";"UNCORRECT";"Hedo Turkoglu";"Hedo Türko?lu"
"Danny Granger";"CORRECT";"";""
"Jared Dudley";"CORRECT";"";""
"Willie Green";"CORRECT";"";""
"Reggie Bullock";"SEMICORRECT";"baltimore";"kinston"
"Ryan Hollins";"CORRECT";"";""
"Caron Butler";"CORRECT";"";""
"Iman Shumpert";"CORRECT";"";""
"Iman Shumpert";"CORRECT";"";""
"Iman Shumpert";"CORRECT";"";""
"Andrea Bargnani";"SEMICORRECT";"italy";"rome"
"Andrea Bargnani";"SEMICORRECT";"italy";"rome"
"Andrea Bargnani";"SEMICORRECT";"italy";"rome"
"Elliot Williams";"CORRECT";"";""
"Hollis Thompson";"CORRECT";"";""
"Casper Ware";"UNCORRECT";"1990-01-17";"1990-11-17"
"Lavoy Allen";"SEMICORRECT";"morrisville";"trenton"
"Jarvis Varnado";"CORRECT";"";""
"Eric Maynor";"CORRECT";"";""
"Adonis Thomas";"SEMICORRECT";"";"memphis"
"James Anderson";"CORRECT";"";""
"Arnett Moultrie";"CORRECT";"";""
"Darius Morris";"CORRECT";"";""
"Daniel Orton";"CORRECT";"";""
"Byron Mullens";"SEMICORRECT";"columbus";"canalwinchester"
"James Nunnally";"CORRECT";"";""
"Jason Richardson";"CORRECT";"";""
"Brandon Davies";"CORRECT";"";""
"Lorenzo Brown";"SEMICORRECT";"rockford";"roswell"
"Darius Johnson-Odom";"CORRECT";"";""
"Xavier Henry";"SEMICORRECT";"belgium";"ghent"
"Tiago Splitter";"SEMICORRECT";"brazil";"blumenau"
"Martell Webster";"CORRECT";"";""
"Wesley Johnson";"CORRECT";"";""
"Kobe Bryant";"CORRECT";"";""
"Ersan Ilyasova";"UNCORRECT";"Ersan Ilyasova";"Ersan ?lyasova"
"Chris Kaman";"CORRECT";"";""
"Kent Bazemore";"CORRECT";"";""
"Omer Asik";"UNCORRECT";"Omer Asik";"Ömer A??k"
"Enes Kanter";"SEMICORRECT";"switzerland";"zürich"
"Ryan Kelly";"CORRECT";"";""
"Eric Gordon";"CORRECT";"";""
"Robert Sacre";"CORRECT";"";""
"Nate Robinson";"CORRECT";"";""
"Andre Miller";"CORRECT";"";""
"Jordan Farmar";"CORRECT";"";""
"Nikola Pekovic";"UNCORRECT";"Nikola Pekovic";"Nikola Pekovi?"
"C.J. Miles";"UNCORRECT";"C.J. Miles";"C. J. Miles"
"Gerald Green";"CORRECT";"";""
"Steve Nash";"SEMICORRECT";"southafrica";"johannesburg"
"Thaddeus Young";"CORRECT";"";""
"Alec Burks";"CORRECT";"";""
"Thaddeus Young";"CORRECT";"";""
"Marvin Williams";"CORRECT";"";""
"Thaddeus Young";"CORRECT";"";""
"Jose Calderon";"UNCORRECT";"Jose Calderon";"José Calderón"
"Tobias Harris";"CORRECT";"";""
"Ed Davis";"SEMICORRECT";"washington";"washington,d.c."
"Austin Daye";"CORRECT";"";""
"Tony Wroten";"SEMICORRECT";"seattle";"renton"
"Luke Ridnour";"SEMICORRECT";"";"coeurd'alene"
"Tony Wroten";"SEMICORRECT";"seattle";"renton"
"Udonis Haslem";"CORRECT";"";""
"Tony Wroten";"SEMICORRECT";"seattle";"renton"
"Jimmy Butler";"CORRECT";"";""
"Jimmy Butler";"CORRECT";"";""
"Jimmy Butler";"CORRECT";"";""
"Nick Young";"CORRECT";"";""
"Nick Young";"CORRECT";"";""
"Nick Young";"CORRECT";"";""
"Jodie Meeks";"CORRECT";"";""
"Jodie Meeks";"CORRECT";"";""
"Jodie Meeks";"CORRECT";"";""
"Dion Waiters";"CORRECT";"";""
"Matthew Dellavedova";"SEMICORRECT";"australia";"maryborough"
"Anthony Bennett";"SEMICORRECT";"canada";"toronto"
"Alonzo Gee";"CORRECT";"";""
"Carrick Felix";"SEMICORRECT";"lasvegas";"goodyear"
"Sergey Karasev";"NOT FOUND";"";""
"Shane Edwards";"NOT FOUND";"";""
"Scotty Hopson";"SEMICORRECT";"";"hopkinsville"
"Arinze Onuaku";"CORRECT";"";""
"Jason Thompson";"SEMICORRECT";"camden";"mountlaureltownship"
"Wilson Chandler";"CORRECT";"";""
"Greg Stiemsma";"CORRECT";"";""
"Nene Hilario";"UNCORRECT";"Nene Hilario";"Nenê"
"Nick Calathes";"SEMICORRECT";"orlando";"casselberry"
"Chris Douglas-Roberts";"CORRECT";"";""
"Mike Scott";"CORRECT";"";""
"Markieff Morris";"CORRECT";"";""
"Channing Frye";"CORRECT";"";""
"Leandro Barbosa";"SEMICORRECT";"brazil";"sãopaulo"
"Dionte Christmas";"CORRECT";"";""
"Kosta Koufos";"CORRECT";"";""
"Alex Len";"SEMICORRECT";"ukraine";"antratsyt"
"Shavlik Randolph";"CORRECT";"";""
"Slava Kravtsov";"UNCORRECT";"Slava Kravtsov";"Viacheslav Kravtsov"
"Richard Jefferson";"CORRECT";"";""
"Brandan Wright";"CORRECT";"";""
"Emeka Okafor";"CORRECT";"";""
"C.J. Watson";"UNCORRECT";"C.J. Watson";"C. J. Watson"
"Jarrett Jack";"CORRECT";"";""
"Jarrett Jack";"CORRECT";"";""
"Jarrett Jack";"CORRECT";"";""
"Archie Goodwin";"CORRECT";"";""
"Archie Goodwin";"CORRECT";"";""
"Archie Goodwin";"CORRECT";"";""
"Seth Curry";"CORRECT";"";""
"Seth Curry";"CORRECT";"";""
"Seth Curry";"CORRECT";"";""
"Kyle Singler";"CORRECT";"";""
"Charlie Villanueva";"CORRECT";"";""
"Jonas Jerebko";"SEMICORRECT";"sweden";"kinna"
"Chauncey Billups";"CORRECT";"";""
"Josh Harrellson";"SEMICORRECT";"";"saintcharles"
"Luigi Datome";"UNCORRECT";"1987-11-28";"1987-11-27"
"Peyton Siva";"CORRECT";"";""
"Tony Mitchell";"CORRECT";"";""
"Ish Smith";"CORRECT";"";""
"Ish Smith";"CORRECT";"";""
"DeMarre Carroll";"CORRECT";"";""
"Jason Smith";"CORRECT";"";""
"Trevor Booker";"CORRECT";"";""
"Cory Joseph";"SEMICORRECT";"canada";"toronto"
"Aaron Brooks";"CORRECT";"";""
"Miles Plumlee";"CORRECT";"";""
"Miles Plumlee";"CORRECT";"";""
"Miles Plumlee";"CORRECT";"";""
"Kentavious Caldwell-Pope";"CORRECT";"";""
"Kentavious Caldwell-Pope";"CORRECT";"";""
"Marcus Morris";"CORRECT";"";""
"Marcus Morris";"CORRECT";"";""
"Marcus Morris";"CORRECT";"";""
"Greg Monroe";"SEMICORRECT";"harvey";"gretna"
"Ish Smith";"CORRECT";"";""
"Greg Monroe";"SEMICORRECT";"harvey";"gretna"
"Greg Monroe";"SEMICORRECT";"harvey";"gretna"
"Eric Bledsoe";"CORRECT";"";""
"Eric Bledsoe";"CORRECT";"";""
"Eric Bledsoe";"CORRECT";"";""
"Derrick Williams";"SEMICORRECT";"bellflower";"lamirada"
"Ray McCallum";"UNCORRECT";"1991-06-12";"1961-03-06"
"Jimmer Fredette";"CORRECT";"";""
"Reggie Evans";"CORRECT";"";""
"Travis Outlaw";"CORRECT";"";""
"Luc Richard Mbah a Moute";"UNCORRECT";"Luc Richard Mbah a Moute";"Luc Mbah a Moute"
"Carl Landry";"CORRECT";"";""
"Jared Cunningham";"CORRECT";"";""
"Quincy Acy";"CORRECT";"";""
"Orlando Johnson";"CORRECT";"";""
"Hamady Ndiaye";"UNCORRECT";"Hamady Ndiaye";"Hamady N'Diaye"
"Royce White";"CORRECT";"";""
"George Hill";"CORRECT";"";""
"Luis Scola";"SEMICORRECT";"argentina";"buenosaires"
"Chris Copeland";"CORRECT";"";""
"Ian Mahinmi";"SEMICORRECT";"france";"rouen"
"Rasual Butler";"CORRECT";"";""
"Donald Sloan";"CORRECT";"";""
"Solomon Hill";"SEMICORRECT";"losangeles";"california"
"Derek Fisher";"CORRECT";"";""
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Ben McLemore";"SEMICORRECT";"";"st.louis"
"Willie Reed";"SEMICORRECT";"tlouis";"roelandpark"
"Jason Terry";"CORRECT";"";""
"Aaron Gray";"CORRECT";"";""
"Aaron Gray";"CORRECT";"";""
"Aaron Gray";"CORRECT";"";""
"Louis Williams";"SEMICORRECT";"lithonia";"memphis"
"Carlos Delfino";"SEMICORRECT";"argentina";"santafe"
"Gary Neal";"CORRECT";"";""
"Giannis Antetokounmpo";"UNCORRECT";"1994-12-06";"1994-12-16"
"Chris Wright";"CORRECT";"";""
"Miroslav Raduljica";"SEMICORRECT";"";"belgrade"
"Ekpe Udoh";"CORRECT";"";""
"D.J. Stephens";"SEMICORRECT";"germany";""
"Tony Mitchell";"CORRECT";"";""
"Lou Amundson";"UNCORRECT";"Lou Amundson";"Louis Amundson"
"Ronnie Brewer";"CORRECT";"";""
"Mike James";"SEMICORRECT";"amityville";"copiague"
"Derrick Rose";"CORRECT";"";""
"Greg Smith";"CORRECT";"";""
"Jeff Adrien";"CORRECT";"";""
"Jeff Adrien";"CORRECT";"";""
"Tony Snell";"SEMICORRECT";"riverside";"watts"
"Nazr Mohammed";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"Ramon Sessions";"CORRECT";"";""
"DeJuan Blair";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Kirk Hinrich";"CORRECT";"";""
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Luol Deng";"SEMICORRECT";"sudan";"wau"
"Khris Middleton";"CORRECT";"";""
"Khris Middleton";"CORRECT";"";""
"Khris Middleton";"CORRECT";"";""
"Larry Sanders";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Tony Allen";"CORRECT";"";""
"Ricky Ledo";"CORRECT";"";""
"Gal Mekel";"SEMICORRECT";"israel";"petahtikva"
"Shawn Marion";"SEMICORRECT";"chicago";"waukegan"
"Wayne Ellington";"CORRECT";"";""
"Jae Crowder";"CORRECT";"";""
"Bernard James";"CORRECT";"";""
"Shane Larkin";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Quincy Pondexter";"CORRECT";"";""
"Boris Diaw";"SEMICORRECT";"france";"cormeilles-en-parisis"
"Brian Roberts";"CORRECT";"";""
"Anthony Morrow";"CORRECT";"";""
"Austin Rivers";"CORRECT";"";""
"Al-Farouq Aminu";"CORRECT";"";""
"Alexis Ajinca";"UNCORRECT";"Alexis Ajinca";"Alexis Ajinça"
"James Southerland";"SEMICORRECT";"bayside";"queens"
"Darius Miller";"CORRECT";"";""
"Jeff Withey";"CORRECT";"";""
"Melvin Ely";"CORRECT";"";""
"Lance Thomas";"CORRECT";"";""
"Josh Childress";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Vince Carter";"CORRECT";"";""
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Samuel Dalembert";"SEMICORRECT";"haiti";"port-au-prince"
"Monta Ellis";"CORRECT";"";""
"Monta Ellis";"CORRECT";"";""
"Monta Ellis";"CORRECT";"";""
"Patrick Beverley";"CORRECT";"";""
"Troy Daniels";"CORRECT";"";""
"Francisco Garcia";"UNCORRECT";"Francisco Garcia";"Francisco García"
"Isaiah Canaan";"CORRECT";"";""
"Omri Casspi";"SEMICORRECT";"israel";"holon"
"Robert Covington";"CORRECT";"";""
"Jordan Hamilton";"CORRECT";"";""
"Donatas Motiejunas";"UNCORRECT";"Donatas Motiejunas";"Donatas Motiej?nas"
"Jamaal Franklin";"CORRECT";"";""
"Josh Powell";"CORRECT";"";""
"James Johnson";"CORRECT";"";""
"Mike Miller";"CORRECT";"";""
"Tayshaun Prince";"CORRECT";"";""
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"James Harden";"SEMICORRECT";"bellflower";"losangeles"
"Tyreke Evans";"CORRECT";"";""
"Tyreke Evans";"CORRECT";"";""
"Tyreke Evans";"CORRECT";"";""
"Garrett Temple";"CORRECT";"";""
"Luke Babbitt";"CORRECT";"";""
"Luke Babbitt";"CORRECT";"";""
